source,target
0,2952
0,3708
0,3553
0,1295
0,2482
0,3806
0,4863
0,3569
0,1977
1,884
1,1205
1,3296
1,1876
1,3740
1,4919
1,4195
1,4885
2,4749
2,291
2,1754
2,2618
2,2525
2,2981
3,432
3,205
3,4729
3,1357
3,3418
3,2704
3,2928
3,915
3,1044
3,1132
3,1462
3,2506
3,2286
3,4924
3,177
3,4318
3,2556
3,3895
3,3924
3,2326
3,2031
3,599
3,2823
3,319
3,4903
4,2646
4,1121
4,4430
4,4347
4,4465
4,878
4,1365
4,2699
4,3359
4,1771
4,4852
4,3484
4,2207
4,561
4,576
4,4078
4,3211
4,4607
4,911
4,864
4,4743
4,4150
4,2409
4,2973
4,2075
4,1274
4,429
4,3438
4,4117
4,2373
5,4381
5,3276
5,1138
5,3451
5,1958
5,482
5,2276
5,2152
5,1966
6,259
6,4952
6,2782
6,430
6,1216
6,4815
6,1069
6,4741
6,1708
6,2472
6,832
6,387
6,4681
7,63
7,268
7,316
7,1234
7,2141
7,797
7,310
7,544
7,1454
7,3712
7,3527
7,3534
8,4873
8,1039
8,702
8,106
8,3715
8,2941
8,2148
8,3785
8,801
9,3937
9,84
9,2617
9,4688
9,319
9,732
9,1808
9,2126
9,3297
9,630
9,3031
9,3979
9,112
9,147
9,1000
9,4311
9,2861
9,1269
9,4613
9,2770
9,120
9,3145
9,3603
9,716
9,3856
9,3500
9,2771
9,4528
10,4491
10,318
10,1824
10,2045
10,2189
10,4644
11,886
11,1551
11,11
11,812
11,4090
11,4346
11,849
11,2682
11,152
11,2922
11,4104
11,3452
11,4686
11,1572
11,4075
11,3623
11,484
11,2303
11,4456
11,3708
11,2780
11,1994
12,3089
12,3392
12,432
12,4822
12,2673
12,1594
12,1052
12,4837
13,2039
13,4709
13,4753
13,96
13,1749
13,2992
13,2871
13,1902
13,3175
13,3096
13,3420
14,458
14,3314
14,653
14,2664
14,2154
14,3088
14,722
14,3693
14,4627
14,1708
14,2567
15,2912
15,1529
15,4701
15,2086
15,1978
15,3982
15,3587
15,2902
15,1639
15,143
15,2819
15,821
15,2242
15,4099
15,706
15,862
15,24
16,827
16,1334
16,2020
16,2730
16,916
16,2092
16,4036
17,3105
17,4793
17,4633
17,414
17,2562
17,1573
17,1067
17,2655
17,390
17,3845
17,3171
17,337
17,2387
17,1667
18,2744
18,837
18,1818
18,464
18,2027
18,1886
18,2212
18,3578
18,2404
18,3212
18,780
18,160
18,1855
18,551
18,4217
18,523
19,4419
19,4132
19,1730
19,4842
19,800
19,3510
19,82
19,2622
19,363
19,662
19,2829
19,1334
19,4945
19,2748
19,2223
19,762
19,2209
19,2334
19,519
19,1346
20,1289
20,4981
20,1705
20,4381
20,1888
20,3178
20,278
20,4087
20,1574
20,1614
21,300
21,4138
21,2536
21,2568
21,849
21,3533
21,2141
21,610
21,4916
21,125
21,1150
21,1626
21,1896
22,3276
22,1229
22,4991
22,3604
22,2405
22,2588
22,3726
22,3431
22,3246
22,4407
22,144
22,3255
22,1048
22,4328
22,2146
22,4412
22,485
22,234
22,1587
